country,arrivals,revenue_dollars,gdp_dollars,percent_of_gdp,primary_energy_consumption_per_capita_kwh/person,annual_co2_emissions_per_capita),tourist_departures,arrival_rank,revenue_rank,code,population_size_in_millions
Slovak Republic,14526000.0,2236474368.4210525,90132631578.94737,2.459418561264112,36747.03647368421,6.945355936842105,3298.0666666666666,5,1,SVK,5.411052631578947
Ukraine,19149529.411764707,3518111111.111111,129652222222.22223,2.7167759773123077,28847.772666666668,6.088168716666667,21470.428571428572,7,2,UKR,45.16
Hungary,44073647.058823526,6532177421.052631,136230000000.0,4.80136533349548,27573.116210526314,5.218141063157894,17508.444444444445,22,3,HUN,9.90157894736842
Czechia,27231875.0,7118441388.888889,198151111111.1111,3.66802266978455,47606.34677777778,10.90850975,6745.833333333333,16,4,CZE,10.483157894736843
Denmark,26891235.29411765,8059334105.263158,321697894736.8421,2.503752263124134,38060.3877368421,7.782569757894737,7121.222222222223,15,5,DNK,5.63421052631579
South Africa,11433152.946920956,8667281578.947369,353753684210.5263,2.5090222630999897,26451.693684210524,8.487700305263157,,1,6,ZAF,54.06473684210526
Croatia,49841294.11764706,8931797157.894737,56243684210.52631,15.982883326368198,23286.432578947366,4.697175215789474,3889.5,23,7,HRV,4.191578947368421
Saudi Arabia,16734937.5,9964933333.333334,582322777777.7778,1.5592630626403412,82505.54505555556,17.771574722222223,16440.0625,6,8,SAU,31.016842105263162
Poland,70040062.5,10907795388.88889,462903333333.3333,2.3604042518270196,29302.003333333338,8.411758861111112,44445.117647058825,24,9,POL,37.97052631578948
Russian Federation,24193941.17647059,13382444444.444445,1452630555555.5557,0.9584332440952004,54990.027111111114,11.314215555555556,35778.555555555555,13,10,RUS,143.66263157894738
Singapore,12735558.823529411,13561375000.0,253718333333.33334,5.457516816176316,145047.57083333333,8.840449522222222,7316.888888888889,2,11,SGP,5.188421052631579
United Arab Emirates,19745000.0,14983900065.104166,315910000000.0,4.18962406507065,136910.31527777776,24.113671,16635.833333333332,8,12,ARE,7.934736842105263
Greece,22791181.818181816,15599008842.105263,246132631578.94736,6.581500217213374,32479.072578947365,8.13927814736842,5443.153846153846,10,13,GRC,10.886315789473684
Mexico,87918176.47058824,15630877777.777779,1122787777777.7778,1.388740200392117,18583.608111111113,4.103036161111111,97678.5,26,14,MEX,116.71684210526315
Malaysia,22265882.352941178,17186166666.666668,259983888888.8889,6.820321940003026,34202.77733333333,7.240672483333333,31481.0,9,15,MYS,29.974736842105262
Netherlands,12760823.529411765,19644529125.0,833569473684.2106,2.3422551495668946,63581.91652631579,9.887851931578947,18388.529411764706,3,16,NLD,16.862105263157893
Austria,23825235.29411765,19982240176.47059,397592105263.1579,5.036527378305599,48373.32215789474,8.265922868421052,9867.777777777777,12,17,AUT,8.561052631578947
Japan,13547517.635569854,20943616666.666668,5099418888888.889,0.4160760210148686,44325.16172222222,9.632698472222224,16317.777777777777,4,18,JPN,127.23368421052632
Canada,29377875.0,20998492263.157894,1556232105263.158,1.356676974869895,112214.08426315789,16.351894157894737,53301.07142857143,18,19,CAN,35.17315789473684
China,128365588.23529412,23231000000.0,7865837777777.777,1.2730883169138567,22115.587166666668,6.262648355555555,78077.0,28,20,CHN,1361.4031578947368
"Macao SAR, China",26256117.647058822,24303888888.88889,33211666666.666668,69.90449199735642,19805.076777777776,2.5768203166666668,1053.9375,14,21,MAC,0.5910526315789474
"Hong Kong SAR, China",41085705.88235294,28737235294.117645,261040555555.55554,10.795278480984136,42946.49005555556,5.864413616666667,78516.83333333333,21,22,HKG,7.166842105263157
Turkiye,33021529.411764707,29166062500.0,729681666666.6666,3.7493624517396333,18179.65538888889,4.501708083333333,6950.833333333333,20,23,TUR,76.29052631578948
Thailand,22833750.0,32009166666.666668,351758888888.8889,8.706141000751208,17874.019333333334,3.6132294277777777,5719.117647058823,11,24,THA,69.16421052631578
Italy,74091505.97426471,42415801500.0,2028433333333.3333,2.0915868143981187,33111.542166666666,6.975173638888889,51322.77777777778,25,25,ITA,59.41842105263158
Germany,28694411.76470588,46445487611.111115,3461572777777.778,1.3459457664659065,46805.65522222222,9.915571833333333,87730.23529411765,17,26,DEU,82.1378947368421
United Kingdom,32872176.470588237,52078041666.666664,2699111111111.1113,1.8838393521420889,38127.465055555556,7.539518172222222,69882.5,19,27,GBR,64.01473684210526
France,194400352.94117647,60693538500.0,2572769444444.4443,2.365995613645683,46578.25944444445,5.785814544444444,33210.933333333334,30,28,FRA,65.73894736842105
Spain,99926705.88235295,66550207000.0,1321116111111.111,4.8335905134793835,36468.53038888889,6.464623594444444,15680.0,27,29,ESP,46.195263157894736
United States,151696074.44852942,166944315789.4737,16748166842105.264,1.0029257587763152,82697.68852631579,17.689408868421054,121791.44444444444,29,30,USA,315.2089473684211
